Vocabulary,P(not Spam),P(Spam)
12335673056391450,0.0003219575016097875,0.00014442518775274407
amazoncom,0.0003219575016097875,0.00014442518775274407
s1908cpsc6820,0.0008048937540244687,0.00014442518775274407
topics,0.0019317450096587251,0.00014442518775274407
hand,0.0008048937540244687,0.00014442518775274407
ml,0.0022537025112685126,0.00014442518775274407
assignment,0.0025756600128783,0.00028885037550548814
unmuted,0.000643915003219575,0.00014442518775274407
002,0.0019317450096587251,0.00014442518775274407
schneider,0.0004829362524146813,0.00014442518775274407
aerospace,0.0003219575016097875,0.00014442518775274407
gulfstream,0.0003219575016097875,0.00014442518775274407
